username, created_at, lng, lat, text
kristinstrong36, Wed Jan 27 02:26:48 +0000 2021, -79.299672, 43.880695, https://t.co/vWJqnwrGCP 
wilsoncf1, Wed Jan 27 02:28:11 +0000 2021, -92.017452, 34.204366, Track covid vac recipients????😤😤😤😤😤😤😤😤😤😤😤😤😤😤😤 
Gcan45, Wed Jan 27 02:28:11 +0000 2021, -86.270540, 45.001180, Signed ! 
realgreatwang, Wed Jan 27 02:28:19 +0000 2021, -115.038337, 36.006256, @Covers_Vegas @MeltzVegas @PeppermillVegas French Toast and Vaccine combo... Let's go 
MsWZ, Wed Jan 27 02:28:38 +0000 2021, -77.277155, 38.793622, Just in time for the booster manufacturing for the new variant. 
DocstoryNepal, Wed Jan 27 02:28:47 +0000 2021, 84.133020, 28.390850, Everyone are invited to attain vaccination for Covid-19.  Previously infected candidates also need to take the va… https://t.co/TcUi95vD2W 
DocstoryNepal, Wed Jan 27 02:28:47 +0000 2021, 84.133020, 28.390850, Even it is live ateunated vaccine, immunocompromised, diabetic and patient with chronic conditions are highly inclu… https://t.co/7JlX0avmrQ 
azrealty7, Wed Jan 27 02:28:52 +0000 2021, -111.931711, 34.168253, Not to mention the side effects of taking the vaccine. (Sudden deaths as well as other crap)Insanity. 
ScottLevinTV, Wed Jan 27 02:29:26 +0000 2021, -78.853563, 42.896230, Biden administration to boost COVID-19 vaccine supply amid shortages - The White House says it's purchasing more Pf… https://t.co/aeZwpqpNhj 
tennilleu, Wed Jan 27 02:29:58 +0000 2021, -118.411907, 34.020789, @SteveDaines @MTGOP @JoeBiden Remember when ivanka told everyone who lost their job because of Covid to just get cr… https://t.co/n87J2Jahvd 
aliciaanne81, Wed Jan 27 02:30:01 +0000 2021, -85.978600, 35.830522, @JoJoeyJo72 serious conversation going on started by @iamcardib she and ALL her staff HAS TO GET A COVID test done… https://t.co/hSLPU6sXIH 
Kikemiamigo14, Wed Jan 27 02:30:22 +0000 2021, -122.643484, 47.300865, @ThesedaysFrench @StephenKing I have many friends here in WA state in the 65 plus category’s hours were vaccinated… https://t.co/z8cXi5Nyx1 
amarse, Wed Jan 27 02:31:21 +0000 2021, -71.088712, 42.313670, ok so maybe trump was right ab this guy 
ajflick, Wed Jan 27 02:31:25 +0000 2021, -110.915573, 32.189391, FYI: TMC's clinic is top AZ clinic, 33,200+ total vax, 1-2K given per day, 10% given in AZ &amp; is model for others, i… https://t.co/Tp9H5yzPWk 
maggiebeiser, Wed Jan 27 02:32:38 +0000 2021, -71.178616, 42.372046, their fundraising effort is here https://t.co/6UQ88KfVfJ 
jbotto13, Wed Jan 27 02:32:41 +0000 2021, -93.166616, 44.818478, @kazweida Why are large percentages of health workers opting out of the vaccine? 
Habsanity, Wed Jan 27 02:32:51 +0000 2021, -89.237048, 48.402327, @eric_habs @OharaTrevoro @MichelleRempel https://t.co/oFT2XCD7Hw 
mcmounteer, Wed Jan 27 02:33:09 +0000 2021, -73.948775, 40.655138, Interesting piece about the choice to get vaccinated. Ethicists Say to Take the Covid-19 Vaccine if You Can https://t.co/NLsuKvnzKW 
otoole_richard, Wed Jan 27 02:33:27 +0000 2021, -2.127041, 57.160556, @DublinPedaller @stottle_harry @alexwickham And how is that relevant to the az covid vaccine? 
jacqrothmeier, Wed Jan 27 02:33:29 +0000 2021, -117.905645, 33.663609, i want the vaccine :) give it here :) 
VincentZahler, Wed Jan 27 02:33:34 +0000 2021, -74.601832, 39.317203, Good stuff 
vipintukur, Wed Jan 27 02:33:38 +0000 2021, 78.130476, 29.378791, It’s safe to immunise pregnant &amp; lactating women w/ covid vaccines!  For any woman who is #pregnant, #nursing or tr… https://t.co/QDA0zz26Sb 
MrChadClarke, Wed Jan 27 02:33:42 +0000 2021, -77.236969, 38.805115, STAMP. 
finance_rich, Wed Jan 27 02:33:44 +0000 2021, -100.076888, 31.168893, I know we as black people have historical evidence to support our vaccine skepticism. But uh yall see all these ric… https://t.co/p1dQsf1SYk 
lpspurrell, Wed Jan 27 02:35:48 +0000 2021, -71.412246, 42.761768, @GovChrisSununu @NHNationalGuard Thank you NH Guard. Governor Sununu, it was nice to see you there this morning whi… https://t.co/BXh5V31pIJ 
AmeduriA, Wed Jan 27 02:35:56 +0000 2021, -117.559707, 33.929913, I don’t think it’s a coincidence that Hank Aaron and Larry king died and they both had the covid vaccine 
Brittany0_0Ann, Wed Jan 27 02:36:32 +0000 2021, -117.851089, 33.842863, For the hundredth time, Disney volunteered their PARKING LOT for a vaccination site. Cast Members are not shooting… https://t.co/En13WqEdrx 
BostapLisa, Wed Jan 27 02:36:33 +0000 2021, -116.238001, 43.598033, I would have loved them to be at the end of the line in the entire state, but then again they’re likely high spread… https://t.co/0KskZKh8bI 
FaithCompassion, Wed Jan 27 02:36:50 +0000 2021, 12.697886, 41.474079, @YahooFinance Am thinking that the retard of the deliver of vaccine in EU is due to newest and newst studies on the… https://t.co/9BqlJWPpBc 
juanahsanchez, Wed Jan 27 02:37:09 +0000 2021, -118.411907, 34.020789, CA continues to lag the nation in vaccine roll-out while LA County remains the epicenter of #COVID19 cases. We’ve e… https://t.co/Jkqyk4VsE8 
Naulledge, Wed Jan 27 02:37:15 +0000 2021, -118.081943, 34.064820, The priority was given to front line workers.. am I trippin? What’s the problem? 
